Game,Chicago Fire,Colorado Rapids,Columbus Crew SC,D.C. United,FC Dallas,Houston Dynamo,LA Galaxy,Montreal Impact,New England Revolution,New York City FC,New York Red Bulls,Orlando City SC,Philadelphia Union,Portland Timbers,Real Salt Lake,San Jose Earthquakes,Seattle Sounders FC,Sporting Kansas City,Toronto FC,Vancouver Whitecaps FC
1,0.0,1.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,3.0,0.0
2,0.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0
3,0.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,3.0
4,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0
5,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,3.0
6,3.0,0.0,3.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,3.0,3.0,1.0,3.0,1.0
7,0.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0
8,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0
9,1.0,1.0,3.0,1.0,3.0,0.0,1.0,3.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,3.0,0.0,3.0,1.0,0.0
10,1.0,1.0,0.0,3.0,3.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0
11,3.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,3.0
12,0.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,3.0,1.0,3.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0
14,0.0,1.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,3.0,3.0,3.0
15,0.0,1.0,1.0,3.0,0.0,3.0,1.0,,0.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1.0,0.0
16,,0.0,3.0,0.0,1.0,0.0,0.0,,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,,3.0
17,,0.0,1.0,0.0,3.0,0.0,1.0,,0.0,0.0,,3.0,0.0,0.0,0.0,,0.0,,,3.0
18,,,,3.0,,,3.0,,0.0,,,,3.0,3.0,1.0,,0.0,,,3.0
19,,,,3.0,,,3.0,,0.0,,,,1.0,,,,,,,
20,,,,1.0,,,0.0,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,
